ID	PHASE	TITLE	LABELS	DEPENDS_ON	ACCEPTANCE
SAS-001	M0	发布公开仓库与首个 alpha 标签	phase:M0,type:release,priority:P0		main 受保护且 v0.1.0-alpha.1 可重复构建
SAS-002	M0	启用 CI CodeQL Dependabot 与分支保护	phase:M0,type:infra,priority:P0	SAS-001	PR 必须通过 verify 和安全检查
SAS-003	M0	建立许可证 NOTICE 与第三方引入流程	phase:M0,type:governance,priority:P0	SAS-001	新依赖有来源 许可证 commit 和 SBOM 记录
SAS-101	M1	实现 sasctl doctor 环境核验	phase:M1,type:feature,priority:P0	SAS-001	输出 Docker agent-compose OctoBus Provider 镜像与网络检查
SAS-102	M1	固定 agent-compose 与 Guest 镜像版本	phase:M1,type:infra,priority:P0	SAS-101	版本和 digest 写入 release manifest
SAS-103	M1	完成五个 Agent 的真实 Sandbox smoke	phase:M1,type:test,priority:P0	SAS-102	仓库验收 harness 与离线契约交付；真实 live gate 由 SAS-108 跟踪
SAS-104	M1	实现 Agent 输出 JSON Schema 强校验	phase:M1,type:feature,priority:P0	SAS-102	非法输出不能 succeeded 且原始输出保留；完整 Draft 2020-12 范围另行定义
SAS-105	M1	记录 daemon run sandbox model skill tool provenance	phase:M1,type:feature,priority:P1	SAS-102	Run 记录 runtime 实际提供的 daemon sandbox model skill tool provenance；配置值不算证据
SAS-106	M1	将取消传播到 agent-compose 实际运行	phase:M1,type:feature,priority:P0	SAS-102	取消后 Sandbox 停止且状态一致；需真实 downstream evidence
SAS-107	M1	建立执行错误分类与安全重试策略	phase:M1,type:reliability,priority:P1	SAS-102	瞬时错误仅在权威无副作用或幂等信号下重试；有副作用不自动重试
SAS-108	M1	完成五个 Agent 的授权真实 Sandbox 验收	phase:M1,type:test,priority:P0	SAS-101,SAS-102,SAS-104,SAS-105,SAS-106	100/100 正常运行、10/10 lifecycle、20 条独立 controls、实际 runtime provenance 全部有治理证据
SAS-201	M2	实现 Artifact 上传登记与下载授权	phase:M2,type:feature,priority:P0	SAS-104	支持大文件引用 哈希 媒体类型与租户隔离
SAS-202	M2	实现 append-only Evidence Store	phase:M2,type:feature,priority:P0	SAS-201	Evidence 保存来源 工具 参数 版本 时间和哈希
SAS-203	M2	实现 Finding Timeline AttackPath 引用校验	phase:M2,type:feature,priority:P0	SAS-202	高风险 Finding 无证据时拒绝
SAS-204	M2	开发 security-evidence OctoBus 服务	phase:M2,type:integration,priority:P0	SAS-202	Sandbox 可受控写证据且不能覆盖历史
SAS-205	M2	定义并评审全部 capset 与方法级权限	phase:M2,type:security,priority:P0	SAS-204	无超级 capset 且每个方法有风险和审计字段
SAS-206	M2	建立 Fixture Manifest 与证据质量指标	phase:M2,type:test,priority:P1	SAS-203	数据来源期望结论和版本可追踪
SAS-301	M3	建立报告指标字典与确定性统计服务	phase:M3,type:feature,priority:P0	SAS-202	所有数字可复算且有 metric_id
SAS-302	M3	实现 CSV JSON Run Result 输入映射	phase:M3,type:feature,priority:P0	SAS-301	缺失和错误字段有明确诊断
SAS-303	M3	实现模板注册表与 DOCX PDF 渲染	phase:M3,type:feature,priority:P0	SAS-302	四类报告可生成可编辑 Word 和 PDF
SAS-304	M3	实现数字 引用 排版 敏感信息质量门	phase:M3,type:test,priority:P0	SAS-303	校验失败阻止发布并保留结构化结果
SAS-305	M3	建立报告 Golden Fixture 回归集	phase:M3,type:test,priority:P1	SAS-304	至少 10 个固定案例持续通过
SAS-401	M4	建立合规语料元数据和版本模型	phase:M4,type:feature,priority:P0	SAS-202	文档版本 生效 废止 机构 条款可查询
SAS-402	M4	实现权威原文摄取检索和引用定位	phase:M4,type:feature,priority:P0	SAS-401	每个回答引用真实条款位置
SAS-403	M4	实现适用性判断与 Control 映射	phase:M4,type:feature,priority:P0	SAS-402	行业主体系统时间等变量参与判断
SAS-404	M4	实现客户证据差距分析和规则引擎	phase:M4,type:feature,priority:P1	SAS-403	无客户证据时只输出 not_assessed
SAS-405	M4	建立合规专家评测集	phase:M4,type:test,priority:P0	SAS-404	100 问答和 30 差距案例达到门槛
SAS-501	M5	定义统一告警事件资产账号进程连接模型	phase:M5,type:feature,priority:P0	SAS-203	首批数据源可无损映射
SAS-502	M5	接入告警 资产 终端和情报只读能力	phase:M5,type:integration,priority:P0	SAS-501	四类数据源查询可审计
SAS-503	M5	实现去重聚合实体关联和历史上下文	phase:M5,type:feature,priority:P0	SAS-502	重复告警保留次数和时间边界
SAS-504	M5	实现支持证据反证和替代假设流程	phase:M5,type:feature,priority:P0	SAS-503	每个判断显示证据和缺口
SAS-505	M5	建立严重性模型与只读处置建议	phase:M5,type:feature,priority:P1	SAS-504	无自动封禁隔离删除或关闭
SAS-506	M5	建立五类事件与提示注入评测	phase:M5,type:test,priority:P0	SAS-505	达到客户真阳性误报和安全门槛
SAS-601	M6	实现 PCAP 大文件检查与离线解析能力	phase:M6,type:feature,priority:P0	SAS-201	格式 哈希 截断 时间范围和大小均可验证
